Code;Population;
SK0234503215;1139;
SK0234503223;721;
SK0234503231;1255;
SK0234503240;1466;
SK0234503258;1036;
SK0234503266;817;
SK0234503274;1242;
SK0234503282;4210;
SK0234503291;945;
SK0234503312;326;
SK0234503321;1537;
SK0234503339;405;
SK0234503347;396;
SK0234503355;361;
SK0234503363;1978;
SK0234503371;673;
SK0234503380;2988;
SK0234503398;1323;
SK0234503401;1871;
SK0234503436;663;
SK0234503452;4243;
SK0234503479;1064;
SK0234503487;452;
SK0234503495;740;
SK0234503509;958;
SK0234503517;905;
SK0234503525;973;
SK0234503533;1320;
SK0234503541;433;
SK0234503550;1901;
SK0234503568;2374;
SK0234503576;388;
SK0234503584;9440;
SK0234503592;9326;
SK0234503606;1023;
SK0234503614;5122;
SK0234503631;1756;
SK0234503649;2115;
SK0234556025;322;
SK0234556033;204;
SK0234556050;1533;
SK0234556092;1207;
SK0234582361;1156;
SK0235500241;1330;
SK0235500739;4323;
SK0235503711;2376;
SK0235503720;917;
SK0235503886;1852;
SK0235503932;3177;
SK0235503991;2847;
SK0235504025;20552;
SK0235504068;3667;
SK0235504092;2773;
SK0235504165;3136;
SK0235504190;1848;
SK0235555878;1886;
SK0236504998;24415;
SK0236505021;315;
SK0236505048;1770;
SK0236505064;219;
SK0236505137;554;
SK0236505226;316;
SK0236505234;1242;
SK0236505242;741;
SK0236505251;330;
SK0236505285;837;
SK0236505340;282;
SK0236505374;1982;
SK0236505404;1490;
SK0236505421;1853;
SK0236505439;539;
SK0236505498;2530;
SK0236505510;544;
SK0236505536;504;
SK0236505561;697;
SK0236505617;472;
SK0236505641;1397;
SK0236505676;728;
SK0236505714;2083;
SK0236505749;542;
SK0236505757;340;
SK0236505773;575;
SK0236542661;375;
SK0236542695;244;
SK0236542709;331;
SK0236542717;1996;
SK0236542792;361;
SK0236542881;335;
SK0236542938;1461;
SK0236542954;655;
SK0236542971;1081;
SK0236543039;607;
SK0236543063;666;
SK0236543071;1539;
SK0236543101;1376;
SK0236543110;285;
SK0236556149;1731;
SK0236556157;1784;
SK0236556165;914;
SK0236556211;325;
SK0236556220;220;
SK0236556238;188;
SK0236556262;802;
SK0236556297;477;
SK0236556327;260;
SK0236556351;356;
SK0236580457;1509;
SK0236581305;959;
SK0236581658;997;
SK0236581704;762;
SK0237500062;1708;
SK0237500127;535;
SK0237500151;1176;
SK0237500283;1182;
SK0237500305;743;
SK0237500321;485;
SK0237500364;883;
SK0237500429;340;
SK0237500437;745;
SK0237500461;708;
SK0237500500;1108;
SK0237500542;524;
SK0237500551;548;
SK0237500585;655;
SK0237500593;694;
SK0237500607;559;
SK0237500658;1469;
SK0237500721;934;
SK0237500747;1691;
SK0237500755;788;
SK0237500810;1781;
SK0237500828;2644;
